Year,ACC_OWNERSHIP,ACC_OWNERSHIP_optimistic,ACC_OWNERSHIP_pessimistic,ACC_MM_ACCOUNT,ACC_MM_ACCOUNT_optimistic,ACC_MM_ACCOUNT_pessimistic,USG_ACTIVE_RATE,USG_ACTIVE_RATE_optimistic,USG_ACTIVE_RATE_pessimistic
2025,69.33568075117364,76.269248826291,62.40211267605628,51.61971830985931,56.78169014084524,46.45774647887338,3.2323943661972407,3.555633802816965,2.9091549295775168
2026,72.73239436619679,80.00563380281648,65.45915492957711,55.352112676056095,60.887323943661706,49.816901408450484,3.507042253521149,3.8577464788732643,3.1563380281690345
2027,76.12910798121993,83.74201877934193,68.51619718309794,59.08450704225379,64.99295774647918,53.17605633802841,3.7816901408450576,4.159859154929563,3.403521126760552
